domain,Frequency count in our data,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound
wp.pl,2639399,-0.173036,-0.255712,-0.09851319
o2.pl,1053273,,,
interia.pl,713214,-0.225544,-0.297405,-0.1560873
gazeta.pl,263609,-0.269236,-0.33115725,-0.2024056
wiadomosci.onet.pl,167153,,,
wykop.pl,161662,0.01606615,-0.13649635,0.16855905
fakt.pl,66939,-0.2300765,-0.2925035,-0.1671521
wyborcza.pl,57309,-0.330398,-0.3810177,-0.2788018
fakty.tvn24.pl,50091,-0.1840315,-0.2544518,-0.1191299
money.pl,44796,-0.192644,-0.28436815,-0.1017587
businessinsider.com.pl,31055,-0.25715,-0.4066976,-0.11572785
gazetawroclawska.pl,24567,-0.3755445,-0.50779655,-0.2505988
tvp.pl,24205,0.5669735,0.4938634,0.63635705
krakow.pl,17724,0.02497095,-0.050702915,0.097059465
trojmiasto.pl,16873,-0.323536,-0.44088715,-0.21264345
se.pl,16549,-0.008034355,-0.07982994,0.06282236
dziennik.pl,16045,-0.07544245,-0.1512636,0.010262355
rp.pl,15291,-0.001113415,-0.078249785,0.07295783
bankier.pl,15095,-0.140503,-0.2426364,-0.04038294
gazetakrakowska.pl,14551,-0.1010165,-0.37928665,0.19153325
satkurier.pl,14499,0.0846083,-0.84951945,1.062681
rmf24.pl,14144,-0.0895723,-0.15385115,-0.028888455
stooq.pl,13481,,,
dziennikbaltycki.pl,13266,-0.370353,-0.4697714,-0.2645185
warszawa.naszemiasto.pl,12718,-0.380655,-0.6048235,-0.16716405
echodnia.eu,12223,,,
radiozet.pl,11857,-0.3339595,-0.4336392,-0.24062055
krakow.naszemiasto.pl,10820,,,
niezalezna.pl,10615,0.381909,0.33152885,0.4342576
lublin112.pl,8728,0.220825,-0.27440525,0.7501323
pomorska.pl,8551,-0.1598795,-0.27710795,-0.044453935
natemat.pl,8110,-0.443727,-0.52940275,-0.3571112
dziennikzachodni.pl,7888,-0.335372,-0.4301187,-0.2477117
wroclaw.pl,7723,-0.3811625,-0.6446297,-0.09798635
wprost.pl,6872,-0.02743985,-0.1063302,0.052768215
gemius.pl,6747,-1.893695,-2.044494,-1.7371185
polskieradio.pl,6599,0.2779875,0.20673865,0.3513092
infor.pl,6323,-0.482937,-0.60643515,-0.36839695
tvn.pl,6282,-0.2746895,-0.3360403,-0.21472245
dzienniklodzki.pl,6261,-0.301646,-0.43551755,-0.1684291
gdansk.pl,6198,-0.3701575,-0.47298075,-0.2724946
salon24.pl,6185,0.215968,0.1506173,0.28333725
wspolczesna.pl,6004,-0.2447785,-0.40261865,-0.084510955
gp24.pl,5880,-0.3790395,-0.50978035,-0.2509261
24opole.pl,5468,,,
gazetalubuska.pl,5318,-0.3829765,-1.09633,0.3517215
wnp.pl,5276,-0.0901318,-0.1823336,-0.005815904
nowosci.com.pl,5124,-0.1790035,-0.33890575,0.000116449905
expressilustrowany.pl,4942,1.37126,1.269199,1.468338
tvp.info,4887,0.232738,0.16896755,0.30194735
gloswielkopolski.pl,4855,-0.1472005,-0.28595435,-0.024188185
wpolityce.pl,4777,0.308965,0.2602893,0.35923895
noizz.pl,4761,-0.861018,-0.9808647,-0.7393351
nowiny24.pl,4646,0.21639,0.07921699,0.3621741
mp.pl,4451,,,
kurierlubelski.pl,4397,0.04418785,-0.07325537,0.1562409
poranny.pl,4382,-0.494448,-0.6822016,-0.31238325
nto.pl,4200,-0.228554,-0.41740525,-0.03957254
gs24.pl,4111,0.03220385,-0.10348625,0.16757995
gazetaprawna.pl,3959,-0.06490515,-0.12883215,-0.003788352
forbes.pl,3885,-0.326394,-0.41643125,-0.2401576
gk24.pl,3638,-1.14765,-1.2347085,-1.0564225
expressbydgoski.pl,3452,-0.1992975,-0.354629,-0.041594515
interia.tv,3431,,,
tokfm.pl,3279,-0.2930055,-0.3773913,-0.2126857
tvn24bis.pl,3187,-0.3841885,-0.4704675,-0.29920745
pikio.pl,3163,-0.06767865,-0.19018445,0.062651245
polskatimes.pl,3105,-0.1718295,-0.23464645,-0.1139017
polityka.pl,3005,-0.269386,-0.32448685,-0.2163886
newsweek.pl,2978,-0.313437,-0.3597168,-0.264971
lm.pl,2956,-1.437775,-1.619955,-1.261472
polsatnews.pl,2940,0.01005236,-0.078683295,0.10461985
wirtualnemedia.pl,2853,-0.1320975,-0.2367461,-0.01926896
warszawa.pl,2843,-0.229741,-0.35589435,-0.10092145
epoznan.pl,2830,,,
medianarodowe.com,2780,0.75298,0.68678045,0.81604165
dziennikpolski24.pl,2780,0.1517115,0.012374605,0.2887035
egospodarka.pl,2714,,,
pb.pl,2680,-0.1598485,-0.2164852,-0.1065558
dziennikwschodni.pl,2569,0.08158575,-0.13736025,0.30290535
lublin.eu,2550,-0.0178358,-0.6358822,0.55475455
